0,1
1,0
2,0
3,1
4,0
5,0
6,1
7,1
8,0
9,1
10,1
11,0
12,0
13,1
14,1
15,1
16,1
17,0
18,0
19,1
20,1
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,0
33,0
34,0
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,1
56,0
57,1
58,0
59,1
60,1
61,1
62,0
63,1
64,0
65,1
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,1
76,0
77,0
78,1
79,0
80,1
81,0
82,0
83,1
84,0
85,0
86,1
87,0
88,0
89,1
90,1
91,1
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,1
103,1
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,1
115,0
116,1
117,0
118,1
119,0
120,1
121,0
122,0
123,0
124,0
125,1
126,1
127,1
128,0
129,1
130,1
131,0
132,1
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,1
142,0
143,1
144,1
145,0
146,0
147,1
148,1
149,0
150,1
151,1
152,0
153,1
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,1
162,1
163,0
164,0
165,1
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,1
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,0
193,1
194,0
195,1
196,0
197,0
198,0
199,0
